id	legalName	ateco	region	description
424	FERRIERE NORD S.P.A.	24	Friuli-Venezia Giulia	L'azienda opera nel settore siderurgico mediante la produzione e la trasformazione di acciai lunghi e di semilavorati ferrosi. Le lavorazioni comprendono operazioni a caldo e a freddo, impiegando forni elettrici, tecnologie di colata continua, laminazione ed elettrosaldatura per la realizzazione di prodotti quali billette, barre, rotoli, vergella, reti e tralicci. L'impresa sviluppa inoltre macchinari e impianti specifici per il trattamento dei materiali ferrosi e integra processi di recupero rottame e di valorizzazione di scorie per la produzione di aggregati destinati a miscele bituminose e cementizie.
425	IMPRESA PIZZAROTTI & C. S.P.A.	42	Emilia-Romagna	L'azienda opera nel settore dell'ingegneria civile svolgendo attività di costruzione e manutenzione di opere edili, comprendenti ponti, oleodotti, lavori stradali, scavi, movimentazione terra e opere idrauliche, inclusa la canalizzazione. Le attività comprendono l'estrazione e la lavorazione meccanica della ghiaia e di materiali pietrosi, il commercio dei medesimi e la realizzazione di elementi prefabbricati in calcestruzzo armato, nonché la produzione di componenti strutturali. L'azienda esegue la progettazione, l'installazione, la trasformazione, l'ampliamento e la manutenzione di impianti elettrici, radiotelevisivi ed elettronici in edifici destinati a uso civile e produttivo, con particolare riferimento a sistemi di protezione da scariche atmosferiche, impianti antincendio, idrosanitari, di riscaldamento, di climatizzazione e ascensori. L'operatività si estende alla realizzazione di infrastrutture per il trasporto, includendo opere civili e armamento ferroviario, nonché alla produzione e prefabbricazione di elementi in calcestruzzo e componenti correlati alle opere ingegneristiche.
426	GOLDENPOINT S.P.A.	47	Lombardia	L'organizzazione opera nel settore del commercio al dettaglio tramite piattaforma e-commerce, offrendo una gamma di prodotti tessili specifici. L'attività si concentra sulla distribuzione di articoli di calzetteria in maglia, calze, collant, lingerie, capi di abbigliamento e accessori tessili, con particolare enfasi su biancheria personale, maglieria e camicie. Le operazioni riguardano la gestione e la commercializzazione online di prodotti di produzione interna nel gruppo societario di appartenenza.
427	INFOCAMERE - SOCIETA' CONSORTILE DI INFORMATICA DELLE CAMERE DI COMMERCIO ITALIANE PER AZIONI	63	Lazio	L'attività principale consiste nella gestione ed elaborazione di banche dati ufficiali relative a registri economici e ambientali. L'ente opera nella realizzazione di piattaforme digitali per l'accesso telematico a sistemi informativi, includendo operazioni di collegamento a database camerali e gestione del registro delle imprese. Sono implementate infrastrutture basate su tecnologie cloud e Data Center dedicate all'elaborazione e al monitoraggio dei dati, con strumenti per l'analisi statistica e la rappresentazione grafica delle informazioni. L'attività comprende inoltre la gestione di pratiche telematiche attraverso sistemi di colocation e interfacce per il supporto delle attività informatiche in ambito pubblico e ambientale.
428	MERCITALIA RAIL S.R.L.	49	Lazio	L'ente opera nel trasporto ferroviario di merci, includendo carichi pericolosi e rifiuti. L'attività comprende la pianificazione ed esecuzione di operazioni ferroviarie, la formazione e il coordinamento di convogli, l'organizzazione di manovre e la redazione della documentazione di accompagnamento. L'operato include il noleggio a freddo di unità di trazione elettriche leggere e pesanti, con la predisposizione del treno e la gestione dell'equipaggio, e si estende ai servizi di trazione in ambito civile e militare, oltre alle operazioni di sgombero infrastrutturale mediante locomotive dedicate.
429	MULTIMEDICA S.P.A.	86	Lombardia	L'azienda gestisce strutture ospedaliere e case di cura specialistiche, operando in contesti di diagnosi e cura in regime di ricovero ordinario, day hospital e ambulatoriale. Sono presenti attività di diagnostica per immagini, esecuzione di esami scintigrafici, analisi cliniche e anatomia patologica, nonché prestazioni di medicina del lavoro. La gestione delle unità operative coinvolge gruppi medici e chirurghi impiegati in interventi chirurgici, percorsi diagnostici e programmi di controllo clinico, con una specifica attenzione alla realizzazione di contratti esecutivi per esami scintigrafici in ambito pubblico.
430	"C.M.S. COSTRUZIONI MACCHINE SPECIALI S.P.A. IN SIGLA ""C.M.S. S.P.A"""	28	Lombardia	L'azienda si occupa della progettazione, realizzazione e commercializzazione di macchinari e impianti per la lavorazione di legno, plastica, marmo, vetro, metallo e materiali compositi. Vengono sviluppati centri di lavorazione numerica a controllo computerizzato con configurazioni a 5 assi, impianti per taglio a getto d'acqua e sistemi di automazione industriale. Le soluzioni comprendono interventi di manutenzione e riparazione su macchinari utensili e impianti di lavorazione, nonché il supporto tecnico per l'installazione e l'ottimizzazione dei processi produttivi mediante tecnologia CNC.
431	AERMEC S.P.A.	28	Veneto	L'azienda opera nella produzione di attrezzature tecniche per la refrigerazione e la ventilazione di uso non domestico e nella fabbricazione di condizionatori domestici fissi. Essa realizza componenti per impianti ad espansione diretta e sistemi integrati di refrigerazione, ventilazione e condizionamento, attraverso processi di lavorazione meccanica, saldobrasatura, stampaggio, verniciatura, assemblaggio e collaudo. La gamma di prodotti comprende refrigeratori ad aria e ad acqua, pompe di calore, ventilconvettori, centrali di trattamento aria, torri refrigeranti, unità di condizionamento e gruppi frigoriferi, nonché componentistica elettromeccanica specifica.
432	RAI - RADIOTELEVISIONE ITALIANA S.P.A.	60	Lazio	L'azienda opera nel settore della radiodiffusione attraverso la programmazione e trasmissione di contenuti audiovisivi su piattaforme televisive e radiofoniche. Le attività comprendono la produzione, l'elaborazione e la distribuzione di formati televisivi e radiofonici, l'implementazione di reti per il trasporto di segnali digitali e la gestione di canali di distribuzione multimediale in forma tradizionale e digitale. Il core operativo si articola in soluzioni per la creazione di contenuti standardizzati nei campi informativi, sportivi, culturali e di intrattenimento.
433	IPERAL SUPERMERCATI S.P.A.	47	Lombardia	L'azienda gestisce una rete di punti vendita nel settore della grande distribuzione organizzata mediante strutture di vendita al dettaglio con un assortimento multi-categoria. L'offerta comprende beni alimentari, tra cui prodotti freschi, surgelati e generi di prima necessità, e beni non alimentari quali prodotti per la cura della persona, articoli casalinghi, elettronica di consumo, elettrodomestici, dispositivi telefonici e informatici; in alcune sedi sono presenti reparti specializzati per gastronomia e macelleria. L'attività include la partecipazione a procedure d'appalto pubblico per la fornitura di prodotti alimentari e strumenti di pagamento prepagati.
434	ELECTROLUX PROFESSIONAL SPA	28	Friuli-Venezia Giulia	L'azienda realizza e commercializza macchinari e impianti adoperati per il trattamento alimentare, il lavaggio, la disinfestazione e la sterilizzazione di oggetti, includendo attrezzature per la preparazione, cottura e conservazione degli alimenti. Il portafoglio comprende forni combinati, forni a convezione, dispositivi di cottura rapida, fornelli modulari, macchine per caffè, impianti per il raffreddamento rapido e sistemi di controllo della temperatura e dell'umidità, oltre a componentistica elettromeccanica e meccanica strumentale. L'attività si estende all'installazione e posa in opera di allestimenti per cucine professionali, mensa aziendali e impianti destinati a strutture assistenziali e istituzionali, come evidenziato dalla partecipazione a gare pubbliche per la fornitura e l'installazione di attrezzature per cucine e lavanderie. Le soluzioni offerte si rivolgono ai settori dell'industria alimentare, food & beverage e manufacturing.
435	APRICA S.P.A.	38	Lombardia	L'azienda opera nel settore della gestione dei rifiuti solidi non pericolosi eseguendo le operazioni di raccolta, trasporto, trattamento, selezione e stoccaggio dei rifiuti solidi urbani ed assimilabili. Le attività comprendono la raccolta differenziata, il trasferimento dei materiali presso impianti tecnici dedicati, l'esecuzione di operazioni di spazzamento stradale e interventi di igiene urbana, configurandosi come una gestione integrata dei flussi di rifiuti non pericolosi.
436	LA LUCENTE S.P.A.	81	Puglia	L'azienda opera nell'ambito del facility management concentrandosi su interventi di pulizia ordinaria e straordinaria, sanificazione, disinfezione, derattizzazione e disinfestazione in contesti civili, industriali e ospedalieri. Le attività eseguite comprendono il trattamento e la disinfezione di ambienti interni ed esterni, la sguatteria con lavaggio e disinfezione di locali cucina, refettori ed attrezzature correlate, e la bonifica di aree costiere, terrestri, fluviali e lacuali. Vengono altresi svolte operazioni di gestione e manutenzione di reti fognarie, svuotatura di fosse biologiche e spurgo di pozzi neri, unitamente alla movimentazione, raccolta e conferimento di rifiuti urbani, speciali e pericolosi. L'azienda si occupa inoltre della manutenzione e riparazione di impianti tecnologici, inclusi impianti idrici, elettrici, di riscaldamento, refrigerazione e condizionamento, e della gestione di aree verdi e impianti sportivi. Altre prestazioni comprendono servizi di trasloco con smontaggio, trasporto e rimontaggio, facchinaggio, nonché operazioni di assistenza a terra negli aeroporti e interventi di rifornimento e movimentazione di materiali e combustibili per veicoli. Tutte le attività sono realizzate in forma integrata all'interno di un sistema operativo di facility management.
437	INTERNATIONAL SECURITY SERVICE VIGILANZA S.P.A.	80	Lazio	L'azienda opera nel settore della sicurezza privata erogando servizi di vigilanza armata e non armata, portierato, reception e hostessing. L'offerta prevede il dispiegamento di impianti di videosorveglianza, sistemi allarme e soluzioni di telesorveglianza per il monitoraggio centralizzato e il controllo accessi. Le operazioni includono il piantonamento in contesti strutturati quali edifici industriali, aeroportuali e amministrativi, nonché attività di investigazione e controllo della sicurezza supportate da centrali operative tecnologicamente avanzate per la gestione degli allarmi.
438	COSP TECNO SERVICE SOC.COOPERATIVA	81	Umbria	L'azienda opera nell'ambito dell'igiene ambientale e della disinfezione in contesti civili, industriali, ospedalieri ed alberghieri, realizzando interventi di pulizia generale e specializzata in ambienti di diversa natura. Vengono eseguiti lavori di disinfestazione, deratizzazione, defogliazione e demuscazione e, in parallelo, operazioni di raccolta, trasporto e smaltimento di rifiuti solidi urbani, rifiuti speciali pericolosi e non pericolosi, mediante attività di spazzamento manuale e meccanizzato. L'azienda si occupa inoltre di attività logistiche comprendenti facchinaggio, movimentazione, stivaggio di prodotti e progettazione di magazzini, con particolare riferimento alla logistica intraospedaliera. Si eseguono interventi di installazione, ampliamento, trasformazione e manutenzione su impianti elettrici, di climatizzazione, idrici, radiotelevisivi, di sollevamento e antincendio, nonché sistemi per l'automazione di porte, cancelli e barriere. Tra le ulteriori attività rientrano la gestione di servizi cimiteriali con relative operazioni tanatologiche, il trasporto e l'accompagnamento di utenti in ambito sanitario, il recupero e la cernita di materiali e il mantenimento del verde pubblico unitamente alla gestione di impianti sportivi e piscine. L'intervento è altresì rivolto alla pulizia e manutenzione di vetture ferroviarie, autostazioni e infrastrutture metropolitane.
439	AZIENDA SERVIZI IGIENE AMBIENTALE - NAPOLI S.P.A. IN FORMA ABBREV IATA A.S.I.A.-NAPOLI S.P.A.	38	Campania	L'azienda esercita l'intermediazione dei rifiuti senza detenzione e il commercio di rifiuti con detenzione. Le attività comprendono lo spazzamento, la raccolta differenziata, la raccolta del residuo indifferenziato, il trasporto e lo smaltimento dei rifiuti, nonché operazioni di stoccaggio, trasferimento, cernita e imballaggio. Vengono gestiti impianti per il trattamento dei rifiuti e strutture operative per la raccolta porta a porta e la gestione di centri di raccolta, inclusi quelli itineranti, nell'ambito della gestione dei rifiuti solidi non pericolosi.
440	ARRIVA ITALIA S.R.L.	49	Lombardia	L'azienda opera nel settore dei trasporti terrestri di passeggeri nca e svolge attività di trasporto pubblico locale, con particolare riferimento all'esecuzione di servizi di trasporto persone su gomma e trasporto funiviario. L'attività comprende l'organizzazione ed erogazione di trasporti regolari, regolari specializzati e occasionali, inclusi servizi riservati scolastici e trasporti per alunni con disabilità. Sono gestite operazioni di manutenzione tecnica della flotta, comprensive di lavaggio, rifornimento, rimessaggio e interventi di riparazione meccanica, elettrica e di carrozzeria, nonché la gestione delle infrastrutture operative, quali depositi e officine. L'azienda esercita inoltre funzioni di intermediazione e coordinamento per il trasporto passeggeri e aderisce a gare pubbliche per l'affidamento di servizi di trasporto riservato ed integrativo.
441	MSC CROCIERE S.P.A	79	Campania	L'azienda opera nel settore della navigazione a crociera mediante la gestione e l'impiego di una flotta di unità navali dotate di sistemi avanzati per il trasporto marittimo. Le attività comprendono la progettazione di itinerari marittimi integrati da pacchetti viaggio che includono soluzioni ricettive a bordo, modulazioni di ristorazione e prevedibili sistemi di intrattenimento. È presente l'organizzazione di configurazioni per eventi aziendali, meeting operativi e soluzioni charter, nonché la predisposizione di infrastrutture finalizzate al coordinamento della logistica e dei trasporti marittimi, con evidenza di esecuzioni contractualizzate mediante bandi relativi alla fornitura di servizi di viaggio. La descrizione tecnica si focalizza sugli elementi operativi e sui moduli funzionali atti alla gestione delle crociere.
442	FERCAM SPA	49	Trentino-Alto Adige/Südtirol	L'azienda opera nel trasporto merci su strada per conto terzi, integrando attività di trasporto intermodale su scala nazionale e internazionale. Vengono eseguite operazioni di logistica che comprendono la movimentazione, lo stoccaggio, l'imballaggio e il trasporto di carichi completi e parziali nonché il trasporto di beni aziendali e privati, inclusa la gestione di opere d'arte e beni culturali. L'offerta prevede anche servizi di spedizione in regime di posta prioritaria e non prioritaria, facchinaggio presso sedi operative e interventi di manutenzione sui mezzi di trasporto. L'organizzazione gestisce centri logistici e integra sistemi di trasmissione dati per il monitoraggio delle spedizioni.
443	CANDY HOOVER GROUP S.R.L.	27	Lombardia	L'azienda si occupa della progettazione, produzione e commercializzazione di elettrodomestici per la pulizia e il trattamento delle superfici in ambito domestico. Le linee di produzione comprendono dispositivi per azioni di aspirazione, realizzati in versioni senza filo, robotiche, a traino e aspirabriciole, nonché dispositivi elettrici e a vapore per la pulizia manuale e dispositivi per la lucidatura di superfici. Le attività tecniche includono l'ingegnerizzazione e l'assemblaggio di apparecchiature elettriche e meccaniche, configurabili nell'ambito dei piccoli e dei grandi elettrodomestici.
444	TECHNOGYM S.P.A.	32	Emilia-Romagna	L'azienda opera nella progettazione, sviluppo, approvvigionamento, fabbricazione e distribuzione di attrezzature per l'allenamento fisico, includendo sistemi elettromeccanici destinati alla terapia riabilitativa e pedane a nastro mobile per applicazioni fisioterapiche e diagnostiche. La produzione comprende macchinari per il training cardiovascolare e di resistenza, dispositivi per il monitoraggio delle performance e piattaforme digitali per l'integrazione dei dati hardware. L'attività copre inoltre l'installazione, la manutenzione, la riparazione e il noleggio a lungo termine di impianti destinati a centri fitness e ambienti wellness, con evidenti operazioni nel settore della fabbricazione di articoli tecnici per il fitness e il wellness.
445	PAPALINI S.P.A.	81	Marche	L'azienda eroga interventi di pulizia tecnica, sanificazione ambientale, disinfezione, disinfestazione e derattizzazione applicabili a insediamenti civili, industriali ed ospedalieri. Le operazioni includono attività di facility management e housekeeping, integrate da interventi di logistica integrata che comprendono trasporto, imballaggio, magazzinaggio e gestione di stock specifici. Vengono eseguite operazioni tecniche per ambienti destinati alla grande distribuzione organizzata, a strutture scolastiche, centri formativi, impianti sportivi e strutture ricettive, con applicazione di protocolli esecutivi per il ritiro differenziato dei rifiuti e il supporto ad attività ausiliarie in ambito di ristorazione e facchinaggio.
446	"""HEIDELBERG MATERIALS ITALIA CEMENTI S.P.A."" IN FORMA ABBREVIATA ""HM ITALIA CEMENTI S.P.A."""	23	Lombardia	L'azienda realizza operazioni integrate per la produzione di leganti idraulici mediante processi tecnici che comprendono l'estrazione e la movimentazione di materie prime quali calcare e argilla, la frantumazione primaria e secondaria e la macinazione per la preparazione della farina. Vengono impiegate linee di cottura, sia in forno lungo che a via secca, per la produzione di clinker, seguito dalla macinazione del prodotto insieme a gesso e correttivi per ottenere cementi a specifiche tecniche differenziate. Le operazioni produttive includono l'insaccamento, il stoccaggio e la spedizione dei prodotti finiti, supportate da sistemi di trasporto e movimentazione dei semilavorati. A questi si affiancano processi di miscelazione finalizzata alla formulazione di calcestruzzo, mediante l'impiego di aggregati e additivi specifici, configurando una catena produttiva articolata per i materiali da costruzione.
447	GI GROUP S.P.A.	78	Lombardia	L'azienda esercita attività di gestione delle risorse umane mediante la somministrazione di lavoro e la ricerca e selezione del personale con contratti a tempo determinato e indeterminato. L'operatività si concentra sulla fornitura di personale per i settori industriale, commerciale e sanitario, come evidenziato dalla partecipazione a bandi pubblici per l'erogazione di servizi di reclutamento e staffing specializzato. Una divisione specifica si occupa dello sviluppo software, della gestione dei dati, della sicurezza informatica e dell'implementazione di infrastrutture e architetture IT, integrando soluzioni tecnologiche a supporto delle attività operative di staffing e amministrative.
448	SELECTA ITALIA S.P.A.	47	Emilia-Romagna	L'azienda opera nella distribuzione automatizzata tramite apparecchi di vending che erogano bevande, alimenti cotti e preconfezionati, oltre a garantire la riparazione e la manutenzione di sistemi di vending e relativi accessori. L'attività prevede l'installazione e la gestione di macchinari per la distribuzione automatica, includendo il rifornimento di dispositivi per la protezione individuale, quali mascherine chirurgiche, mascherine in stoffa e dispositivi FFP1, FFP2 e FFP3. La gestione tecnica e operativa dei sistemi di somministrazione alimentare comprende interventi su distributori automatici per l'erogazione di bevande calde, fredde e snack, in conformità alle specifiche estratte dalle procedure di concessione in gare pubbliche.
449	CIMOLAI S.P.A.	25	Lazio	Produzione e montaggio di strutture metalliche mediante lavorazioni meccaniche specifiche, quali taglio, piegatura, saldatura, assemblaggio, granigliatura e verniciatura. Progettazione e coordinamento per l'integrazione di componenti in acciaio destinati a infrastrutture civili, industriali, viarie ed offshore. Fabbricazione di elementi strutturali, comprese travi, tubi saldati, coperture speciali e sistemi di movimentazione per il sollevamento di carichi. Attività tecnica orientata alla realizzazione di ponti, viadotti, facciate continue e opere ingegneristiche nel settore metalmeccanico.
450	STROILI ORO S.P.A.	47	Friuli-Venezia Giulia	L'azienda dispone di una struttura operativa con reparti interni per direzione, personale, elaborazione dati, sviluppo, acquisti, vendite e logistica. L'attività comprende il commercio all'ingrosso e al dettaglio di articoli per orologeria, gioielleria e argenteria, nonché la commercializzazione di oggetti realizzati in metalli lavorati, in cristallo, in porcellana, in metalli argentati, oltre a pietre dure, minerali e prodotti di origine animale. L'azienda opera nei settori della distribuzione specializzata e del dettaglio nell'ambito degli accessori moda e dell'oreficeria.
451	ABB S.P.A.	27	Lombardia	La società opera nella fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità, comprendendo la produzione di quadri elettrici, interruttori a bassa e media tensione, convertitori, alimentatori e gruppi di continuità, oltre alla realizzazione di macchine elettriche rotanti, servomotori, azionamenti e componentistica meccanica mediante lavorazioni meccaniche, saldatura e verniciatura per la carpenteria di quadri di comando e controllo. L'attività si estende all'assemblaggio, al collaudo, all'installazione e alla messa in servizio di impianti elettrici e sistemi di automazione industriale, inclusa l'integrazione di soluzioni robotizzate, nonché alla progettazione e sviluppo di strumentazione per il controllo, il monitoraggio e l'analisi di processi industriali.
452	"ISTITUTO POLIGRAFICO E ZECCA DELLO STATO - SOCIETA' PER AZIONI IN BREVE ""IPZS S.P.A"""	18	Lazio	L'azienda realizza progettazione, produzione e distribuzione di sistemi di stampa e dispositivi per la sicurezza dei documenti e dell'identità. Le lavorazioni comprendono processi di stampa offset, digitale, serigrafica, tipografica, rotocalcografica e calcografica, con produzioni di carte valori, documenti filigranati e supporti per l'identificazione elettronica. L'attività comprende la lavorazione di materiali attraverso preparazione lastre, lavorazioni galvaniche, fonderia, laminazione, elettroerosione, trattamento termico, tranciatura e taglio meccanico, destinati alla produzione di semilavorati per monetazione e targhe per veicoli. L'azienda integra inoltre lo sviluppo, l'installazione e la manutenzione di soluzioni applicative ed infrastrutturali per sistemi telematici, contact center, gestione documentale e archiviazione digitale, unitamente a processi di dematerializzazione e gestione IT per la comunicazione e la conservazione dei dati. La produzione si estende anche alla realizzazione di stampe editoriali e artistiche mediante tecnologie laser, ink-jet e olografiche.
453	ASTER COOP SOC. COOP.	52	Friuli-Venezia Giulia	L'azienda esercita operazioni di autotrasporto merci per conto terzi integrato da attività logistiche afferenti alla movimentazione e stoccaggio, comprendenti facchinaggio, collettame e gestione di terminal. Le operazioni logistiche includono la gestione di magazzini di proprietà e in conto terzi, il mantenimento di celle a temperatura controllata per prodotti deperibili, l'organizzazione di spazi di stoccaggio per prodotti enologici e la movimentazione refrigerata per prodotti farmaceutici, nonché attività di logistica distributiva per trasferimenti nel contesto B2B e B2C.
454	FERROVIE DELLO STATO ITALIANE S.P.A.	70	Lazio	L'azienda esercita attività di coordinamento organizzativo in qualità di holding operativa con funzioni gestionali che comprendono il controllo operativo delle società operative nel settore del trasporto ferroviario e su strada, con particolare riferimento al trasporto di passeggeri e merci. Le attività includono la gestione e il coordinamento delle infrastrutture di rete ferroviaria ed intermodale, l'amministrazione di sistemi informativi integrati e il supporto in ambito risorse umane, nonché la fornitura di soluzioni in cyber security, consulenza legale societaria e reporting organizzativo.
455	SPEA S.P.A.	26	Piemonte	L'azienda si occupa della progettazione, produzione e sviluppo di macchinari e apparecchiature per il collaudo elettronico. Essa realizza sistemi automatizzati per il test di circuiti integrati, sensori, MEMS e schede elettroniche mediante piattaforme di collaudo automatico che integrano tester a sonde mobili e tester in-circuit, predisposti per eseguire test in-circuit, test funzionali e collaudi di fine linea. Le soluzioni comprendono implementazioni hardware e software per il controllo e la gestione dei processi di assemblaggio elettronico e meccanico applicati al collaudo di microchip, circuiti stampati e moduli elettronici.
456	FONTANA PIETRO S.P.A.	25	Lombardia	L'azienda realizza stampi, portastampi, sagome e forme per macchine attraverso lavorazioni meccaniche e processi di stampaggio, integrando la costruzione di attrezzature meccaniche con la progettazione e realizzazione di programmi e apparecchiature elettroniche per il controllo operativo di macchinari ed impianti. L'organizzazione sviluppa soluzioni per la gestione operativa dei sistemi elettronici e per l'automazione delle linee produttive, supportando inoltre attività di locazione e sublocazione di beni mobili e immobili e prestando servizi di coordinamento tecnico, amministrativo, commerciale e finanziario. Le tecnologie adottate comprendono sistemi di progettazione computerizzata e realizzazione di componenti di alta precisione nell'ambito della meccanica strumentale, macchine utensili, robotica e stampaggio per materie plastiche e gomma.
457	ESTEE LAUDER S.R.L.	46	Lombardia	L'azienda opera nel commercio all'ingrosso di prodotti cosmetici, concentrandosi sulla distribuzione di profumi, prodotti per il trucco e articoli correlati. L'attività commerciale è evidenziata da operazioni di fornitura oggetto di gare pubbliche, in cui sono stati richiesti prodotti specifici per il trucco, cosmetici e articoli per la parafarmacia. La partecipazione a bandi per l'acquisto e la fornitura di materiali tipici del settore cosmetico costituisce un elemento verificabile dell'attività principale.
458	ALFASIGMA S.P.A.	21	Emilia-Romagna	L'azienda opera nella fabbricazione di preparati farmaceutici ed integratori alimentari mediante la realizzazione di formulazioni specifiche a base di principi attivi per applicazioni orali, topiche e rettali. Le attività produttive includono la produzione di specialità medicinali destinate a interventi terapeutici in ambito cardiovascolare, dermatologico, ginecologico, gastroenterologico, neurologico e reumatico, nonché la realizzazione di preparati per il supporto della funzionalità intestinale e per l'igiene orale. L'offerta comprende anche realizzazioni di radiofarmaci e dispositivi medico-diagnostici impiegati in contesti regolati, in accordo con evidenze tecniche del settore farmaceutico.
459	SERVIZI ITALIA S.P.A.	96	Emilia-Romagna	La società opera nel settore delle lavanderie industriali e si avvale di processi integrati quali lavaggio, finissaggio, sterilizzazione, noleggio, ricondizionamento, confezionamento e logistica applicati a tessili quali biancheria piana, indumenti sanitari, materassi e accessori, nonché allo strumentario chirurgico. L'attività comprende il trattamento, il trasporto, il ritiro e la distribuzione dei dispositivi per l'allestimento dei campi operatori e la gestione di impianti dedicati a lavanderie e centrali di sterilizzazione. Vengono inoltre progettate, installate e ristrutturate soluzioni per la gestione integrata dei processi di pulizia e sterilizzazione, includendo attività di recupero funzionale e logistica specialistica.
460	AUTOSPED G - SPA	49	Piemonte	L'azienda opera nel settore del trasporto merci su strada effettuando autotrasporto per conto proprio e di terzi mediante l'impiego di mezzi propri e noleggiati. Vengono utilizzati veicoli cisterna, cassonati, ribaltabili, centinati e portacontainers per il trasporto di prodotti alimentari, merci varie, prodotti criogenici, liquidi, polverulenti, mangimi, gas tecnici, materiale inerte, rifiuti speciali e prodotti siderurgici. L'attività comprende la gestione logistica e il magazzinaggio, la raccolta e la ricerca di merci a supporto di corrieri ed autotrasportatori, nonché la commercializzazione all'ingrosso di pneumatici, parti di ricambio, lubrificanti e altri prodotti di consumo per autoveicoli. Vengono inoltre realizzate operazioni di lavaggio dei veicoli mediante impianti automatizzati e la messa a disposizione di impianti dedicati alle verifiche e revisioni periodiche degli autoveicoli.
461	IMAB GROUP SOCIETA' PER AZIONI	31	Marche	Attività di fabbricazione di mobili per arredo domestico mediante lavorazioni meccaniche su legno e altri materiali. L'operatività prevede processi di sezionatura, squadrabordatura, foratura, sagomatura, assemblaggio, edgebanding, imballaggio, stoccaggio e spedizione. La produzione si articola in soluzioni componibili per ambienti quali cucina, living e zona notte, comprensive di operazioni di taglio, modellazione e assemblaggio dei pannelli per la configurazione modulare degli arredi. Vengono realizzate componenti per mobili in kit attraverso lavorazioni affini volte alla trasformazione e al confezionamento dei materiali.
462	DURING AGENZIA PER IL LAVORO S.P.A. IN FORMA ABBREVIATA DURING S.P.A.	78	Piemonte	L'azienda esercita la fornitura di personale in modalità di somministrazione a tempo determinato, realizzando attività di ricerca e selezione del personale per l'impiego in profili diversificati, compresi quelli infermieristici, amministrativi e del settore della ristorazione. L'organizzazione opera mediante l'affidamento di contratti di somministrazione di lavoro, come evidenziato dalla partecipazione a gare d'appalto per l'erogazione di personale in diversi ambiti operativi, utilizzando strumenti contrattuali quali accordi quadro e procedure negoziate.
463	ESPRINET S.P.A.	46	Lombardia	L'attività si concentra sul commercio all'ingrosso di elaboratori elettronici e dispositivi informatici, comprendendo computer, periferiche, software e componenti ICT. Vengono svolte operazioni di movimentazione, immagazzinamento, imballaggio e spedizione di prodotti elettronici di consumo e apparecchiature informatiche. L'azienda opera nell'approvvigionamento e distribuzione di componenti hardware e accessori per la telefonia, nonché nell'assemblaggio e integrazione di piattaforme hardware e software. Sono documentate attività di fornitura di computer desktop, portatili, server, stampanti e periferiche correlate, unitamente alla gestione di postazioni di lavoro e relative operazioni di fleet management, come evidenziato dalla partecipazione a gare pubbliche per la fornitura e il supporto operativo di sistemi informatici.
464	OBI ITALIA S.R.L.	47	Lombardia	Operatore retail specializzato nel commercio al dettaglio di materiali non alimentari mediante piattaforme di vendita online e negozi specializzati. L'attività comprende la distribuzione di articoli per il bricolage, ferramenta, attrezzature per il fai da te, utensili e accessori per l'edilizia, vernici, vetro piano e materiali da costruzione, nonché articoli per il giardinaggio. Sono erogati servizi di consegna a domicilio, sagomatura di pannelli in legno, tintometria e duplicazione chiavi.
465	ROECHLING AUTOMOTIVE ITALIA - S.R.L.	29	Trentino-Alto Adige/Südtirol	L'attività aziendale si configura nella fabbricazione e commercializzazione di componenti in materie plastiche mediante processi di stampaggio a iniezione e deformazione di termoplastici e compositi. Le operazioni comprendono la produzione di semilavorati e componenti finiti destinati alla componentistica per autoveicoli e motori non classificati altrove, nonché la realizzazione di soluzioni per l'integrazione di sistemi batteria e per la componentistica elettromeccanica. L'impiego dei materiali plastici si estende a prodotti per l'ingegneria meccanica e per applicazioni industriali, inclusa la fabbricazione di imballaggi per il settore farmaceutico e di componenti per dispositivi medici.
466	"""EUROSANITA' SOCIETA' PER AZIONI O, IN FORMA ABBREVIATA EUROSANITA' S.P.A."	86	Lazio	L'azienda opera nel settore sanitario attraverso strutture ospedaliere e cliniche, erogando prestazioni in ambito di assistenza medica, diagnosi e interventistica chirurgica. Le attività includono reparti di degenza, unità di emergenza, day surgery e servizi semi-residenziali. Le prestazioni comprendono procedure di chirurgia generale, ortopedica, bariatrica e interventi in ambito di medicina, radiologia e diagnostica per immagini. Sono presenti attività di test sierologici e predisposizione di retta per residenti in strutture sanitarie assistenziali, come evidenziato dalla partecipazione a bandi per RSA e assistenza in situazioni di emergenza sanitaria.
467	HITACHI RAIL STS S.P.A.	30	Campania	L'azienda opera nella produzione e assemblaggio di materiale rotabile in ambito ferroviario, tranviario, filoviario e per estrazione mineraria. Le attività includono la realizzazione di veicoli e relative componenti meccaniche ed elettroniche, nonché l'integrazione di sottosistemi per segnalazione, telecomunicazioni, alimentazione elettrica e controllo dei sistemi di trasporto. Vengono sviluppati moduli tecnici per il comando, il monitoraggio e la gestione degli impianti ferroviari e metropolitani, con una struttura in grado di realizzare soluzioni integrate per l'industria ferrotranviaria.
